"UNICODE" "LATITUDE" "LONGITUDE" "quant" "block"
"1.13.100.81" -16.40817838 -71.495845 "1" "3"
"1.13.100.82" -16.40812676 -71.49572531 "1" "3"
"1.13.100.88" -16.40802872 -71.49493507 "1" "3"
"1.13.100.92" -16.40821854 -71.49454494 "1" "3"
"1.13.100.112" -16.408556 -71.49618793 "1" "3"
"1.13.100.87" -16.40805425 -71.49501929 "1" "3"
"1.13.100.86" -16.40805413 -71.49513984 "1" "3"
"1.13.100.84" -16.40809756 -71.49544399 "1" "3"
"1.13.100.83" -16.40813489 -71.49555562 "1" "3"
"1.13.100.92A" -16.4082876 -71.4945545 "1" "3"
"1.13.100.93" -16.40840353 -71.49451168 "1" "3"
"1.13.100.132" -16.40908636 -71.49439231 "1" "4"
"1.13.100.95" -16.40844125 -71.49468544 "1" "3"
"1.13.100.131" -16.40893144 -71.49441699 "1" "4"
"1.13.100.130" -16.40885894 -71.4944277 "1" "4"
"1.13.100.128" -16.40865286 -71.49447172 "1" "4"
"1.13.100.150" -16.40892837 -71.49613109 "1" "4"
"1.13.100.133" -16.40908832 -71.49451724 "1" "4"
"1.13.100.96" -16.40848564 -71.49478964 "1" "3"
